model_name,win_rate,buy_precision,sell_precision,observations
kronos,0.436667,0.368421,0.527132,300
tcn,0.436667,0.368421,0.527132,300
lightgbm,0.435811,0.365269,0.527132,300
patchtst,0.437288,0.36747,0.527132,300
cnn_lstm,0.435811,0.365269,0.527132,300
nhits,0.435374,0.36747,0.523438,300
