fold_number,train_start,train_end,test_start,test_end,number_of_signals,number_of_trades,win_rate,profit_factor,max_drawdown,average_rr,buy_precision,sell_precision,blocked_signals,best_thresholds,model_weights_used
1,2026-06-11T17:29:35.182175+00:00,2026-06-12T00:54:35.182175+00:00,2026-06-12T00:59:35.182175+00:00,2026-06-12T05:04:35.182175+00:00,44,44,0.8182,7.3751,6.0,1.1591,0.0,0.0,0,{},"{""kronos"": 0.5182159523389939, ""tcn"": 0.1670806911427695, ""lightgbm"": 0.14272090627653403, ""patchtst"": 0.06681463930877624, ""cnn_lstm"": 0.06925891804594632, ""nhits"": 0.03590889288698003}"
2,2026-06-11T21:39:35.182175+00:00,2026-06-12T05:04:35.182175+00:00,2026-06-12T05:09:35.182175+00:00,2026-06-12T09:14:35.182175+00:00,95,95,0.5053,1.9817,46.0,0.4857,0.0,0.0,0,{},"{""kronos"": 0.5182159523389939, ""tcn"": 0.1670806911427695, ""lightgbm"": 0.14272090627653403, ""patchtst"": 0.06681463930877624, ""cnn_lstm"": 0.06925891804594632, ""nhits"": 0.03590889288698003}"
3,2026-06-12T01:49:35.182175+00:00,2026-06-12T09:14:35.182175+00:00,2026-06-12T09:19:35.182175+00:00,2026-06-12T13:24:35.182175+00:00,114,114,0.2719,0.3614,83.0,-0.4649,0.0,0.0,0,{},"{""kronos"": 0.5182159523389939, ""tcn"": 0.1670806911427695, ""lightgbm"": 0.14272090627653403, ""patchtst"": 0.06681463930877624, ""cnn_lstm"": 0.06925891804594632, ""nhits"": 0.03590889288698003}"
