entry,max_adverse_move,max_favorable_move,outcome,realized_rr,risk_reward,signal,status,stop_loss,time,tp1,tp2,tp3
2361.9158,0.6651,0.227,SL_HIT,-1.0,2.0,BUY,BLOCKED_BY_RISK,2361.372,2026-06-12T00:03:03.324061+00:00,2362.4596,2363.0035,2363.2754
2361.7986,0.748,0.2097,SL_HIT,-1.0,2.0,BUY,BLOCKED_BY_RISK,2361.2217,2026-06-12T00:08:03.324061+00:00,2362.3755,2362.9524,2363.2408
2360.834,0.0692,1.7779,TP2_HIT,2.0001,2.0,SELL,BLOCKED_BY_RISK,2361.6021,2026-06-12T00:33:03.324061+00:00,2360.0659,2359.2977,2358.9137
2360.5162,0.0844,1.8211,TP2_HIT,2.0001,2.0,SELL,BLOCKED_BY_RISK,2361.3184,2026-06-12T00:38:03.324061+00:00,2359.7139,2358.9117,2358.5106
2360.2228,0.0532,1.9047,TP2_HIT,2.0,2.0,SELL,BLOCKED_BY_RISK,2361.0539,2026-06-12T00:43:03.324061+00:00,2359.3917,2358.5606,2358.145
2360.0426,0.0,1.7245,TP2_HIT,2.0,2.0,SELL,BLOCKED_BY_RISK,2360.8978,2026-06-12T00:48:03.324061+00:00,2359.1874,2358.3322,2357.9046
2359.5683,0.1269,2.0464,TP2_HIT,1.9999,2.0,SELL,BLOCKED_BY_RISK,2360.4511,2026-06-12T00:53:03.324061+00:00,2358.6856,2357.8028,2357.3614
2359.209,0.1619,2.1035,TP2_HIT,2.0001,2.0,SELL,BLOCKED_BY_RISK,2360.1181,2026-06-12T00:58:03.324061+00:00,2358.2998,2357.3907,2356.9362
2358.8301,0.1946,2.151,TP2_HIT,1.9999,2.0,SELL,BLOCKED_BY_RISK,2359.7644,2026-06-12T01:03:03.324061+00:00,2357.8958,2356.9616,2356.4944
2358.4329,0.2246,2.1885,TP2_HIT,2.0,2.0,SELL,BLOCKED_BY_RISK,2359.3911,2026-06-12T01:08:03.324061+00:00,2357.4747,2356.5165,2356.0373
2358.019,0.2512,2.2159,TP2_HIT,2.0001,2.0,SELL,BLOCKED_BY_RISK,2359.0,2026-06-12T01:13:03.324061+00:00,2357.038,2356.0569,2355.5664
2357.5901,0.2738,2.2353,TP2_HIT,1.9999,2.0,SELL,BLOCKED_BY_RISK,2358.5928,2026-06-12T01:18:03.324061+00:00,2356.5875,2355.5848,2355.0835
2357.1481,0.2919,2.2977,TP2_HIT,2.0002,2.0,SELL,BLOCKED_BY_RISK,2358.1711,2026-06-12T01:23:03.324061+00:00,2356.125,2355.1019,2354.5904
2356.6948,0.3054,2.3489,TP2_HIT,2.0002,2.0,SELL,BLOCKED_BY_RISK,2357.7369,2026-06-12T01:28:03.324061+00:00,2355.6526,2354.6104,2354.0893
2356.4124,0.1337,2.5686,TP2_HIT,2.0,2.0,SELL,BLOCKED_BY_RISK,2357.4723,2026-06-12T01:33:03.324061+00:00,2355.3525,2354.2926,2353.7627
2355.879,0.2007,2.5322,TP2_HIT,1.9999,2.0,SELL,BLOCKED_BY_RISK,2356.9551,2026-06-12T01:38:03.324061+00:00,2354.8029,2353.7269,2353.1888
2355.4692,0.1339,2.6117,TP2_HIT,2.0,2.0,SELL,BLOCKED_BY_RISK,2356.56,2026-06-12T01:43:03.324061+00:00,2354.3784,2353.2876,2352.7422
2354.991,0.1277,2.6124,TP2_HIT,2.0,2.0,SELL,BLOCKED_BY_RISK,2356.101,2026-06-12T01:48:03.324061+00:00,2353.881,2352.771,2352.216
2354.411,0.2179,2.4983,TP2_HIT,2.0001,2.0,SELL,BLOCKED_BY_RISK,2355.5443,2026-06-12T01:53:03.324061+00:00,2353.2777,2352.1443,2351.5777
2353.9655,0.1706,2.5034,TP2_HIT,1.9999,2.0,SELL,BLOCKED_BY_RISK,2355.1257,2026-06-12T01:58:03.324061+00:00,2352.8053,2351.6452,2351.0651
2353.4762,0.167,2.4468,TP2_HIT,2.0001,2.0,SELL,BLOCKED_BY_RISK,2354.6583,2026-06-12T02:03:03.324061+00:00,2352.2941,2351.1119,2350.5209
2353.2171,0.0,2.6003,TP2_HIT,2.0,2.0,SELL,BLOCKED_BY_RISK,2354.416,2026-06-12T02:08:03.324061+00:00,2352.0182,2350.8193,2350.2199
2352.6754,0.0,2.4489,TP2_HIT,2.0001,2.0,SELL,BLOCKED_BY_RISK,2353.8855,2026-06-12T02:13:03.324061+00:00,2351.4653,2350.2551,2349.6501
2352.1124,0.0789,2.5915,TP2_HIT,2.0,2.0,SELL,BLOCKED_BY_RISK,2353.3281,2026-06-12T02:18:03.324061+00:00,2350.8967,2349.681,2349.0731
2351.8273,0.0,2.618,TP2_HIT,2.0,2.0,SELL,BLOCKED_BY_RISK,2353.0428,2026-06-12T02:23:03.324061+00:00,2350.6118,2349.3963,2348.7885
2351.26,0.0144,2.584,TP2_HIT,2.0,2.0,SELL,BLOCKED_BY_RISK,2352.4696,2026-06-12T02:28:03.324061+00:00,2350.0504,2348.8408,2348.2361
2350.9822,0.0,2.5253,TP2_HIT,1.9999,2.0,SELL,BLOCKED_BY_RISK,2352.1803,2026-06-12T02:33:03.324061+00:00,2349.7841,2348.5861,2347.9871
