model_name,win_rate,buy_precision,sell_precision,observations
kronos,0.432343,0.362069,0.527132,303
tcn,0.432343,0.362069,0.527132,303
lightgbm,0.431438,0.358824,0.527132,303
patchtst,0.432886,0.360947,0.527132,303
cnn_lstm,0.431438,0.358824,0.527132,303
nhits,0.430976,0.360947,0.523438,303
