fold_number,train_start,train_end,test_start,test_end,number_of_signals,number_of_trades,win_rate,profit_factor,max_drawdown,average_rr,buy_precision,sell_precision,blocked_signals,best_thresholds,model_weights_used
1,2026-06-09T14:45:04.680419+00:00,2026-06-09T18:00:04.680419+00:00,2026-06-09T18:05:04.680419+00:00,2026-06-09T19:40:04.680419+00:00,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0,"{""profile"": ""default""}","{""kronos"": 0.15460122725134726, ""tcn"": 0.12269938670741849, ""lightgbm"": 0.5999999993338156, ""patchtst"": 0.04907975468296739, ""cnn_lstm"": 0.04907975468296739, ""nhits"": 0.024539877341483694}"
2,2026-06-09T16:25:04.680419+00:00,2026-06-09T19:40:04.680419+00:00,2026-06-09T19:45:04.680419+00:00,2026-06-09T21:20:04.680419+00:00,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{""profile"": ""default""}","{""kronos"": 0.15460122725134726, ""tcn"": 0.12269938670741849, ""lightgbm"": 0.5999999993338156, ""patchtst"": 0.04907975468296739, ""cnn_lstm"": 0.04907975468296739, ""nhits"": 0.024539877341483694}"
